iD,N,mu,T,m,q,C2,err
0,50,1.1,1.625,0.0035759999999999998,0.00013427840000000002,1.5790265899549607,0.16061450358243337
0,50,0.5,1.1,0.0018999999999999998,6.618e-05,2.5712385070125574,0.13977263232375906
0,50,0.3,1.775,0.001456,7.65904e-05,1.3934181811287527,0.17348990825221772
0,50,1.5,1.4,0.00045200000000000004,6.969519999999999e-05,2.1143074596858273,0.15103538989094242
0,50,1.2,1.925,-0.002328,7.4296e-05,1.4297465934761702,0.17914642877889164
0,50,0.4,1.85,-0.0018600000000000005,0.0001325256,1.3031052498800961,0.17224563118843328
0,50,1.4,1.85,0.001164,0.00011141839999999998,1.3760364822480378,0.17706218087371
0,50,0.2,0.875,-0.0006720000000000001,0.0001681328,8.586943522510829,0.17371135504426927
0,50,1.7,0.725,0.8378840000000001,0.8524317640000001,0.08924034534777091,269.6381701874987
0,50,1.3,0.5,0.039116,0.0024413944,28.949207563831823,20.425237856560653
0,50,0.2,0.8,-0.0004639999999999997,0.00019814239999999998,10.999065063054973,0.1990906684571478
0,50,1.1,0.65,-0.020948,0.0005208728,23.046559242428984,0.39664988937487494
0,50,0.8,0.5,-0.001908,5.44472e-05,12.887539103793607,0.2675346156333611
0,50,0.1,1.1,0.0013039999999999998,5.4236799999999995e-05,2.8466103688875974,0.14769015573581676
0,50,1.1,1.4,0.002708,8.32088e-05,2.2402679137838577,0.15687316791057887
0,50,0.7,1.775,0.0017000000000000001,0.0001383128,1.4270164290238927,0.1692448860373172
0,50,1.5,1.625,0.005832,0.0001229328,2.5712387726110806,0.17068152023252708
0,50,0.8,0.575,0.0023,0.00017300079999999998,10.870164792095975,0.2508648019736083
0,50,0.1,1.175,-0.00012799999999999972,8.5696e-05,2.7126817929250278,0.15203830738629384
0,50,1.9,0.8,-0.11954000000000001,0.0163096552,27.39940575975473,76.49169129377516
0,50,0.7,1.7,3.999999999999997e-05,7.773119999999999e-05,1.643416298304631,0.1706835980859632
0,50,1.6,0.95,0.005704,7.170720000000001e-05,18.697716422227728,0.41528310867985296
0,50,0.8,1.325,-0.00228,0.0001378928,2.033664024023939,0.15380998824492176
0,50,0.1,0.725,0.0015680000000000006,9.42704e-05,5.521588391730758,0.1597743404187954
0,50,1.5,0.65,0.0024639999999999996,4.90624e-05,16.290128016637524,0.37232165854647653
0,50,0.6,0.8,5.1999999999999895e-05,0.000124244,9.790920959612729,0.19331864713648092
0,50,1.7,0.5,0.8453200000000001,0.8299457936000002,0.1546745300449138,220.61066891004563
0,50,1.3,0.725,-0.016728,0.00047303680000000003,18.360870673463573,0.34067901931094774
0,50,0.6,0.875,-0.003432,0.00016956159999999997,3.359113481506136,0.14659448348609666
0,50,1.0,1.85,0.004336,8.652639999999998e-05,1.5422448212932653,0.17442694756769578
0,50,1.9,1.25,-0.0129,0.00022406960000000001,15.435319708345835,0.31252502257266285
0,50,1.6,1.925,0.0009960000000000001,0.00010256080000000001,1.5873275770820254,0.18023506500171244
