iD,N,mu,T,tau,err
0,50,1.4,0.575,371.63154000253263,2.8827129759523706
0,50,1.8,1.175,0.425497256729321,0.17301541949982266
0,50,1.7,1.025,0.4262875956851387,0.2166774700160964
0,50,0.3,0.95,0.43140810929419515,0.14745730011066355
0,50,0.4,1.025,0.4247867157179846,0.15750340864542628
0,50,1.2,1.475,0.42917766896392845,0.15638259719060996
0,50,1.9,1.7,0.42899206646793564,0.22957932500487196
0,50,0.3,2.0,0.42988913153994407,0.18599638399798776
0,50,0.6,1.25,0.42744608371298465,0.1506040093115349
0,50,0.2,1.625,0.4259797654830756,0.1587717141081505
0,50,2.0,1.175,16.029507465896334,0.6845161694093203
0,50,0.7,0.95,0.42410748762310707,0.15151932549716884
0,50,1.3,1.025,0.42111371588230256,0.2163817462648683
0,50,1.0,0.575,0.8522925238584185,0.42423597179371875
0,50,0.6,1.625,0.42911478889775645,0.16214136815098865
0,50,0.2,1.25,0.42722102973741166,0.15314538176087292
0,50,0.7,2.0,0.42951302905436006,0.18262825008620487
0,50,1.6,1.475,0.430878928803948,0.17760593832824048
0,50,0.5,0.725,0.43653740529960816,0.18489369933108005
0,50,1.2,0.95,0.4449991215370743,0.23368427242072953
0,50,0.5,1.175,0.4260929761914716,0.1426166255235023
0,50,0.3,1.7,0.42726343561436775,0.1692618184355272
0,50,1.1,1.625,0.4281147230006511,0.16061450358243337
0,50,0.5,1.1,0.4268439064947773,0.13977263232375906
0,50,0.3,1.775,0.4266325198187065,0.17348990825221772
0,50,1.5,1.4,0.4243795831480676,0.15103538989094242
0,50,1.2,1.925,0.42721709031948535,0.17914642877889164
0,50,0.4,1.85,0.42759959520278396,0.17224563118843328
0,50,1.4,1.85,0.4301963428519993,0.17706218087371
0,50,0.2,0.875,0.424979082304628,0.17371135504426927
0,50,1.7,0.725,5688.448709078811,269.6381701874987
0,50,1.3,0.5,44.82591026643448,20.425237856560653
0,50,0.2,0.8,0.43013803541200485,0.1990906684571478
0,50,1.1,0.65,0.829770603731508,0.39664988937487494
0,50,0.8,0.5,0.49678492705261734,0.2675346156333611
0,50,0.1,1.1,0.4272875237968288,0.14769015573581676
0,50,1.1,1.4,0.4290185739940082,0.15687316791057887
0,50,0.7,1.775,0.4281377167667222,0.1692448860373172
0,50,1.5,1.625,0.42529653921579463,0.17068152023252708
0,50,0.8,0.575,0.46484289976021814,0.2508648019736083
0,50,0.1,1.175,0.43147690034927355,0.15203830738629384
0,50,1.9,0.8,567.1080300212307,76.49169129377516
0,50,0.7,1.7,0.42876507250783086,0.1706835980859632
0,50,1.6,0.95,1.3888218161997956,0.41528310867985296
0,50,0.8,1.325,0.43027160366936396,0.15380998824492176
0,50,0.1,0.725,0.42876058109666526,0.1597743404187954
0,50,1.5,0.65,0.9590679275106148,0.37232165854647653
0,50,0.6,0.8,0.43444030062331196,0.19331864713648092
0,50,1.7,0.5,5568.058155335938,220.61066891004563
0,50,1.3,0.725,0.753949635828773,0.34067901931094774
0,50,0.6,0.875,0.42944168926967863,0.14659448348609666
0,50,1.0,1.85,0.427077762860772,0.17442694756769578
0,50,1.9,1.25,0.4952358927457464,0.31252502257266285
0,50,1.6,1.925,0.43125236630460123,0.18023506500171244
0,50,0.0,1.025,0.42909892513174125,0.14272116442474067
0,50,0.6,1.1,0.4304992354374669,0.14517217914924624
0,50,1.6,1.4,0.42687204678875645,0.1610193517161599
0,50,1.2,1.625,0.4253712628768595,0.1648434198064015
0,50,1.9,1.55,0.42900738673870714,0.16825793332967964
0,50,0.6,1.175,0.42590302614423237,0.15359590639535337
0,50,1.1,0.95,0.676401261822836,0.3675486987659349
0,50,0.9,1.55,0.43257531669667515,0.15515070106460876
0,50,0.6,0.725,0.4286085667126218,0.15879595972632843
0,50,1.2,0.65,0.42878753614379844,0.1798077467526273
0,50,1.0,0.5,0.5449589469413031,0.3239533511377729
0,50,0.1,0.8,0.4243965250177229,0.16945538018563555
0,50,1.4,0.725,1025.8652755412465,60.59501897782866
0,50,0.1,0.875,0.42891404751171025,0.16469067886339292
0,50,2.0,1.1,51.33233436112911,0.8331504148459546
0,50,1.8,1.325,0.42803150028917136,0.16872103111160314
